// Pitanja za kviz

// Format za dodavanje pitanja je sljedeci:
// 		pitanje ; tacan odgovor ; pogresan odgovor ; pogresan odgovor ;

Ime najduÅ¾e stranice u pravouglom trouglu? ; hipotenuza ; kateta; aksioma;
Oduzimas mi dah, je hit grupe? ; Colonia ; Sax ; Spektar;
Tange su? ; GaÄ‡e; Cipele ; ÄŒarape ;
Iznad UÅ¾ica se nalazi? ; Zlatibor ; Avala ; Velebit ;
Nadimak za Srbina iz UÅ¾ica ili okoline UÅ¾ica? ; Era ; GedÅ¾a ; ÄŒokalija ;
Jean Michel Jarre je? ; Klavijaturista ; Fudbaler ; Gangster ;
Srbija se ne graniÄ�i sa? ; Turskom ; MaÄ‘arskom ; Makedonijom ;
C,E,G su note? ; C dura ; C maja ; C mola ;
U jednom mjesecu tri subote su parnog datuma. Koji da je 25-tog u tom mjesecu? ; Ponedeljak ; Utorak ; Srijeda ;
Promil je koji dio cjeline? ; Hiljaditi ; Stoti ; Deseti ;
Forte je? ; JaÄ�ina zvuka ; Marka sata ; Marka automobila ;
Å½uta boja je boja? ; Ljubomore ; Inata ; SreÄ‡e ;
PjevaÄ� grupe The Rollingstones je? ; Mick Jagger ; Lepi Cane ; RiÄ�ard Gir ;
Semoro braÄ‡e ima po jednu sestru. Koliko je tu ukupno djece? ; 8 ; 14 ; 21 ;
Taxim je kraj u? ; Milanu ; Rimu ; Istanbulu ;
Jedna lubenica je teÅ¡ka 4kg i joÅ¡ pola lubenice. Kolika je teÅ¾ina te lubenice? ; 8 kg ; 12 kg ; 6 kg ;
Å ta Ä‡e biti sutra a bilo je juÄ�e? ; Dan ; Nova Godina ; Ravnodnevnica ;
Jedan od najpoznatijih svjetskih filozofa je? ; Georg Hegel ; Georg Bush ; Georg Harrison ;
Flash MX je koja po redu verzija? ; Å esta ; Peta ; ÄŒetvrta ;
Pitagora je bio poznat po? ; Teoremi ; Dilovanju ; Zulumu ;
